Orden_Original,Folio,Fecha_Operacion,Hora_Operacion,Codigo_Cliente,Cliente,Codigo_Producto,Producto,Categoria,Region,Sucursal,Canal,Estado,Prioridad,Cantidad,Precio_Unitario,Porcentaje_Descuento,Costo_Unitario,Fecha_Compromiso,Fecha_Entrega,Responsable,Archivo_Origen
1,OP-000001,2026-01-08,08:05:00,C-0002,Cliente 2,P-100,Monitor 24,Tecnologia,Norte,SUC-02,Tienda,Pendiente,Alta,4,637,0.05,356.72,2026-01-16,2026-01-12,Resp 2,archivo_02.csv
2,OP-000002,2026-01-15,09:10:00,C-0003,Cliente 3,P-200,Teclado,Tecnologia,Centro,SUC-03,Distribuidor,Cancelado,Media,7,774,0.1,441.18,2026-01-24,2026-01-20,Resp 3,archivo_03.csv
3,OP-000003,2026-01-22,10:15:00,C-0004,Cliente 4,P-300,Mouse,Tecnologia,Sur,SUC-04,Digital,En revision,Baja,10,911,0.15,528.38,2026-02-01,2026-01-28,Resp 4,archivo_04.csv
4,OP-000004,2026-01-29,11:20:00,C-0005,Cliente 5,P-400,Laptop,Tecnologia,Pacifico,SUC-05,Tienda,Aprobado,Critica,13,1048,0,618.32,2026-02-09,2026-02-05,Resp 5,archivo_05.csv
5,OP-000005,2026-02-05,12:25:00,C-0006,Cliente 6,P-500,Dock,Tecnologia,Norte,SUC-06,Distribuidor,Pendiente,Alta,16,1185,0.05,711.0,2026-02-17,2026-02-13,Resp 6,archivo_06.csv
6,OP-000006,2026-02-12,13:30:00,C-0007,Cliente 7,P-100,Monitor 24,Tecnologia,Centro,SUC-07,Digital,Cancelado,Media,19,1322,0.1,806.42,2026-02-25,2026-02-21,Resp 7,archivo_01.csv
7,OP-000007,2026-02-19,14:35:00,C-0008,Cliente 8,P-200,Teclado,Tecnologia, Sur,SUC-08,Tienda,En revision,Baja,22,1459,0.15,904.58,2026-03-05,2026-03-01,Resp 8,archivo_02.csv
8,OP-000008,2026-02-26,15:40:00,C-0009,Cliente 9,P-300,Mouse,Tecnologia,Pacifico,SUC-01,Distribuidor,Aprobado,Critica,25,1596,0,877.8,2026-03-13,2026-03-09,Resp 9,archivo_03.csv
9,OP-000009,2026-03-05,16:45:00,C-0010,Cliente 10,P-400,Laptop,Tecnologia,Norte,SUC-02,Digital,Pendiente,Alta,28,1733,0.05,970.48,2026-03-21,2026-03-17,Resp 10,archivo_04.csv
10,OP-000010,2026-03-12,17:50:00,C-0011,Cliente 11,P-500,Dock,Tecnologia,Centro,SUC-03,Tienda,Cancelado,Media,31,1870,0.1,1065.9,2026-03-19,2026-03-25,Resp 11,archivo_05.csv
